Kategorie;Produkt;Variante;Status;Apple aktuell €;17 % €;27 % €;Rabattregel;Früher 29.08.2026 €;Änderung Apple €;Hinweis
ipad;iPad Pro;"13"" · 1 TB · Wi-Fi + Cellular · Standardglas";Jetzt kaufen;2629.00;2183.65;1921.85;Apple/Beats 17 % / versteckt 27 %;2629.00;0.00;
ipad;iPad Pro;"13"" · 2 TB · Wi-Fi + Cellular · Standardglas";Jetzt kaufen;3249.00;2697.73;2374.05;Apple/Beats 17 % / versteckt 27 %;3249.00;0.00;
ipad;iPad Pro;"13"" · 1 TB · Wi-Fi + Cellular · Nanotexturglas";Jetzt kaufen;2759.00;2291.94;2015.86;Apple/Beats 17 % / versteckt 27 %;2759.00;0.00;
ipad;iPad Pro;"13"" · 2 TB · Wi-Fi + Cellular · Nanotexturglas";Jetzt kaufen;3379.00;2806.02;2469.25;Apple/Beats 17 % / versteckt 27 %;3379.00;0.00;
ipad;iPad Air;"11"" · 128 GB · Wi-Fi";Jetzt kaufen;799.00;664.02;585.48;Apple/Beats 17 % / versteckt 27 %;799.00;0.00;
ipad;iPad Air;"11"" · 256 GB · Wi-Fi";Jetzt kaufen;929.00;772.31;680.68;Apple/Beats 17 % / versteckt 27 %;929.00;0.00;
ipad;iPad Air;"11"" · 512 GB · Wi-Fi";Jetzt kaufen;1179.00;980.56;862.75;Apple/Beats 17 % / versteckt 27 %;1179.00;0.00;
ipad;iPad Air;"11"" · 1 TB · Wi-Fi";Jetzt kaufen;1559.00;1295.91;1140.02;Apple/Beats 17 % / versteckt 27 %;1559.00;0.00;
ipad;iPad Air;"11"" · 128 GB · Wi-Fi + Cellular";Jetzt kaufen;969.00;805.63;709.24;Apple/Beats 17 % / versteckt 27 %;969.00;0.00;
ipad;iPad Air;"11"" · 256 GB · Wi-Fi + Cellular";Jetzt kaufen;1099.00;913.92;804.44;Apple/Beats 17 % / versteckt 27 %;1099.00;0.00;
